metro_area,iso_3166_2_code,census_fips_code,date,RS_first2,areatype,perc_change
NA,NA,NA,2020-02-23,NA,grocery_and_pharmacy_percent_change_from_baseline,9
NA,NA,NA,2020-02-23,NA,parks_percent_change_from_baseline,-24
NA,NA,NA,2020-02-23,NA,transit_stations_percent_change_from_baseline,2
NA,NA,NA,2020-02-23,NA,workplaces_percent_change_from_baseline,-3
NA,NA,NA,2020-02-23,NA,residential_percent_change_from_baseline,0
NA,NA,NA,2020-02-24,NA,retail_and_recreation_percent_change_from_baseline,2
NA,NA,NA,2020-02-24,NA,grocery_and_pharmacy_percent_change_from_baseline,-5
NA,NA,NA,2020-02-24,NA,parks_percent_change_from_baseline,17
NA,NA,NA,2020-02-24,NA,transit_stations_percent_change_from_baseline,-5
NA,NA,NA,2020-02-24,NA,workplaces_percent_change_from_baseline,-20
NA,NA,NA,2020-02-24,NA,residential_percent_change_from_baseline,4
NA,NA,NA,2020-02-25,NA,retail_and_recreation_percent_change_from_baseline,-1
NA,NA,NA,2020-02-25,NA,grocery_and_pharmacy_percent_change_from_baseline,-1
NA,NA,NA,2020-02-25,NA,parks_percent_change_from_baseline,15
NA,NA,NA,2020-02-25,NA,transit_stations_percent_change_from_baseline,-5
NA,NA,NA,2020-02-25,NA,workplaces_percent_change_from_baseline,-13
NA,NA,NA,2020-02-25,NA,residential_percent_change_from_baseline,4
NA,NA,NA,2020-02-26,NA,retail_and_recreation_percent_change_from_baseline,-3
NA,NA,NA,2020-02-26,NA,grocery_and_pharmacy_percent_change_from_baseline,0
NA,NA,NA,2020-02-26,NA,parks_percent_change_from_baseline,0
NA,NA,NA,2020-02-26,NA,transit_stations_percent_change_from_baseline,-7
NA,NA,NA,2020-02-26,NA,workplaces_percent_change_from_baseline,-5
NA,NA,NA,2020-02-26,NA,residential_percent_change_from_baseline,2
NA,NA,NA,2020-02-27,NA,retail_and_recreation_percent_change_from_baseline,-5
NA,NA,NA,2020-02-27,NA,grocery_and_pharmacy_percent_change_from_baseline,3
NA,NA,NA,2020-02-27,NA,parks_percent_change_from_baseline,-3
NA,NA,NA,2020-02-27,NA,transit_stations_percent_change_from_baseline,-5
NA,NA,NA,2020-02-27,NA,workplaces_percent_change_from_baseline,-4
NA,NA,NA,2020-02-27,NA,residential_percent_change_from_baseline,2
NA,NA,NA,2020-02-28,NA,retail_and_recreation_percent_change_from_baseline,3
NA,NA,NA,2020-02-28,NA,grocery_and_pharmacy_percent_change_from_baseline,11
NA,NA,NA,2020-02-28,NA,parks_percent_change_from_baseline,9
NA,NA,NA,2020-02-28,NA,transit_stations_percent_change_from_baseline,-2
NA,NA,NA,2020-02-28,NA,workplaces_percent_change_from_baseline,-5
NA,NA,NA,2020-02-28,NA,residential_percent_change_from_baseline,2
NA,NA,NA,2020-02-29,NA,retail_and_recreation_percent_change_from_baseline,-1
NA,NA,NA,2020-02-29,NA,grocery_and_pharmacy_percent_change_from_baseline,5
NA,NA,NA,2020-02-29,NA,parks_percent_change_from_baseline,9
NA,NA,NA,2020-02-29,NA,transit_stations_percent_change_from_baseline,1
NA,NA,NA,2020-02-29,NA,workplaces_percent_change_from_baseline,-1
NA,NA,NA,2020-02-29,NA,residential_percent_change_from_baseline,1
NA,NA,NA,2020-03-01,NA,retail_and_recreation_percent_change_from_baseline,8
NA,NA,NA,2020-03-01,NA,grocery_and_pharmacy_percent_change_from_baseline,18
NA,NA,NA,2020-03-01,NA,parks_percent_change_from_baseline,21
NA,NA,NA,2020-03-01,NA,transit_stations_percent_change_from_baseline,4
NA,NA,NA,2020-03-01,NA,workplaces_percent_change_from_baseline,1
NA,NA,NA,2020-03-01,NA,residential_percent_change_from_baseline,0
NA,NA,NA,2020-03-02,NA,retail_and_recreation_percent_change_from_baseline,2
NA,NA,NA,2020-03-02,NA,grocery_and_pharmacy_percent_change_from_baseline,8
NA,NA,NA,2020-03-02,NA,parks_percent_change_from_baseline,9
NA,NA,NA,2020-03-02,NA,transit_stations_percent_change_from_baseline,-1
NA,NA,NA,2020-03-02,NA,workplaces_percent_change_from_baseline,0
NA,NA,NA,2020-03-02,NA,residential_percent_change_from_baseline,0
NA,NA,NA,2020-03-03,NA,retail_and_recreation_percent_change_from_baseline,0
NA,NA,NA,2020-03-03,NA,grocery_and_pharmacy_percent_change_from_baseline,5
NA,NA,NA,2020-03-03,NA,parks_percent_change_from_baseline,8
NA,NA,NA,2020-03-03,NA,transit_stations_percent_change_from_baseline,-3
NA,NA,NA,2020-03-03,NA,workplaces_percent_change_from_baseline,0
NA,NA,NA,2020-03-03,NA,residential_percent_change_from_baseline,1
NA,NA,NA,2020-03-04,NA,retail_and_recreation_percent_change_from_baseline,2
NA,NA,NA,2020-03-04,NA,grocery_and_pharmacy_percent_change_from_baseline,2
NA,NA,NA,2020-03-04,NA,parks_percent_change_from_baseline,14
NA,NA,NA,2020-03-04,NA,transit_stations_percent_change_from_baseline,-4
NA,NA,NA,2020-03-04,NA,workplaces_percent_change_from_baseline,0
NA,NA,NA,2020-03-04,NA,residential_percent_change_from_baseline,1
NA,NA,NA,2020-03-05,NA,retail_and_recreation_percent_change_from_baseline,-4
NA,NA,NA,2020-03-05,NA,grocery_and_pharmacy_percent_change_from_baseline,0
NA,NA,NA,2020-03-05,NA,parks_percent_change_from_baseline,0
NA,NA,NA,2020-03-05,NA,transit_stations_percent_change_from_baseline,-5
NA,NA,NA,2020-03-05,NA,workplaces_percent_change_from_baseline,0
NA,NA,NA,2020-03-05,NA,residential_percent_change_from_baseline,1
NA,NA,NA,2020-03-06,NA,retail_and_recreation_percent_change_from_baseline,-3
NA,NA,NA,2020-03-06,NA,grocery_and_pharmacy_percent_change_from_baseline,1
NA,NA,NA,2020-03-06,NA,parks_percent_change_from_baseline,-11
NA,NA,NA,2020-03-06,NA,transit_stations_percent_change_from_baseline,-7
NA,NA,NA,2020-03-06,NA,workplaces_percent_change_from_baseline,-1
NA,NA,NA,2020-03-06,NA,residential_percent_change_from_baseline,2
NA,NA,NA,2020-03-07,NA,retail_and_recreation_percent_change_from_baseline,1
NA,NA,NA,2020-03-07,NA,grocery_and_pharmacy_percent_change_from_baseline,0
NA,NA,NA,2020-03-07,NA,parks_percent_change_from_baseline,19
NA,NA,NA,2020-03-07,NA,transit_stations_percent_change_from_baseline,-2
NA,NA,NA,2020-03-07,NA,workplaces_percent_change_from_baseline,0
NA,NA,NA,2020-03-07,NA,residential_percent_change_from_baseline,1
NA,NA,NA,2020-03-08,NA,retail_and_recreation_percent_change_from_baseline,12
NA,NA,NA,2020-03-08,NA,grocery_and_pharmacy_percent_change_from_baseline,19
NA,NA,NA,2020-03-08,NA,parks_percent_change_from_baseline,31
NA,NA,NA,2020-03-08,NA,transit_stations_percent_change_from_baseline,2
NA,NA,NA,2020-03-08,NA,workplaces_percent_change_from_baseline,1
NA,NA,NA,2020-03-08,NA,residential_percent_change_from_baseline,0
NA,NA,NA,2020-03-09,NA,retail_and_recreation_percent_change_from_baseline,-1
NA,NA,NA,2020-03-09,NA,grocery_and_pharmacy_percent_change_from_baseline,2
NA,NA,NA,2020-03-09,NA,parks_percent_change_from_baseline,7
NA,NA,NA,2020-03-09,NA,transit_stations_percent_change_from_baseline,-5
NA,NA,NA,2020-03-09,NA,workplaces_percent_change_from_baseline,-1
NA,NA,NA,2020-03-09,NA,residential_percent_change_from_baseline,1
NA,NA,NA,2020-03-10,NA,retail_and_recreation_percent_change_from_baseline,-7
NA,NA,NA,2020-03-10,NA,grocery_and_pharmacy_percent_change_from_baseline,-2
NA,NA,NA,2020-03-10,NA,parks_percent_change_from_baseline,-13
NA,NA,NA,2020-03-10,NA,transit_stations_percent_change_from_baseline,-8
NA,NA,NA,2020-03-10,NA,workplaces_percent_change_from_baseline,-1
NA,NA,NA,2020-03-10,NA,residential_percent_change_from_baseline,3
NA,NA,NA,2020-03-11,NA,retail_and_recreation_percent_change_from_baseline,-1
NA,NA,NA,2020-03-11,NA,grocery_and_pharmacy_percent_change_from_baseline,2
NA,NA,NA,2020-03-11,NA,parks_percent_change_from_baseline,17
NA,NA,NA,2020-03-11,NA,transit_stations_percent_change_from_baseline,-7
NA,NA,NA,2020-03-11,NA,workplaces_percent_change_from_baseline,-1
NA,NA,NA,2020-03-11,NA,residential_percent_change_from_baseline,2
NA,NA,NA,2020-03-12,NA,retail_and_recreation_percent_change_from_baseline,-7
NA,NA,NA,2020-03-12,NA,grocery_and_pharmacy_percent_change_from_baseline,6
NA,NA,NA,2020-03-12,NA,parks_percent_change_from_baseline,4
NA,NA,NA,2020-03-12,NA,transit_stations_percent_change_from_baseline,-9
NA,NA,NA,2020-03-12,NA,workplaces_percent_change_from_baseline,-2
NA,NA,NA,2020-03-12,NA,residential_percent_change_from_baseline,2
NA,NA,NA,2020-03-13,NA,retail_and_recreation_percent_change_from_baseline,-9
NA,NA,NA,2020-03-13,NA,grocery_and_pharmacy_percent_change_from_baseline,19
NA,NA,NA,2020-03-13,NA,parks_percent_change_from_baseline,-3
NA,NA,NA,2020-03-13,NA,transit_stations_percent_change_from_baseline,-15
NA,NA,NA,2020-03-13,NA,workplaces_percent_change_from_baseline,-4
NA,NA,NA,2020-03-13,NA,residential_percent_change_from_baseline,4
NA,NA,NA,2020-03-14,NA,retail_and_recreation_percent_change_from_baseline,-17
NA,NA,NA,2020-03-14,NA,grocery_and_pharmacy_percent_change_from_baseline,9
NA,NA,NA,2020-03-14,NA,parks_percent_change_from_baseline,33
NA,NA,NA,2020-03-14,NA,transit_stations_percent_change_from_baseline,-19
NA,NA,NA,2020-03-14,NA,workplaces_percent_change_from_baseline,-3
NA,NA,NA,2020-03-14,NA,residential_percent_change_from_baseline,4
NA,NA,NA,2020-03-15,NA,retail_and_recreation_percent_change_from_baseline,-12
NA,NA,NA,2020-03-15,NA,grocery_and_pharmacy_percent_change_from_baseline,13
NA,NA,NA,2020-03-15,NA,parks_percent_change_from_baseline,75
NA,NA,NA,2020-03-15,NA,transit_stations_percent_change_from_baseline,-16
NA,NA,NA,2020-03-15,NA,workplaces_percent_change_from_baseline,-5
NA,NA,NA,2020-03-15,NA,residential_percent_change_from_baseline,2
NA,NA,NA,2020-03-16,NA,retail_and_recreation_percent_change_from_baseline,-7
NA,NA,NA,2020-03-16,NA,grocery_and_pharmacy_percent_change_from_baseline,22
NA,NA,NA,2020-03-16,NA,parks_percent_change_from_baseline,40
NA,NA,NA,2020-03-16,NA,transit_stations_percent_change_from_baseline,-25
NA,NA,NA,2020-03-16,NA,workplaces_percent_change_from_baseline,-18
NA,NA,NA,2020-03-16,NA,residential_percent_change_from_baseline,6
NA,NA,NA,2020-03-17,NA,retail_and_recreation_percent_change_from_baseline,-21
NA,NA,NA,2020-03-17,NA,grocery_and_pharmacy_percent_change_from_baseline,11
NA,NA,NA,2020-03-17,NA,parks_percent_change_from_baseline,31
NA,NA,NA,2020-03-17,NA,transit_stations_percent_change_from_baseline,-35
NA,NA,NA,2020-03-17,NA,workplaces_percent_change_from_baseline,-25
NA,NA,NA,2020-03-17,NA,residential_percent_change_from_baseline,10
NA,NA,NA,2020-03-18,NA,retail_and_recreation_percent_change_from_baseline,-34
NA,NA,NA,2020-03-18,NA,grocery_and_pharmacy_percent_change_from_baseline,5
NA,NA,NA,2020-03-18,NA,parks_percent_change_from_baseline,44
NA,NA,NA,2020-03-18,NA,transit_stations_percent_change_from_baseline,-39
NA,NA,NA,2020-03-18,NA,workplaces_percent_change_from_baseline,-30
NA,NA,NA,2020-03-18,NA,residential_percent_change_from_baseline,11
NA,NA,NA,2020-03-19,NA,retail_and_recreation_percent_change_from_baseline,-45
NA,NA,NA,2020-03-19,NA,grocery_and_pharmacy_percent_change_from_baseline,-3
NA,NA,NA,2020-03-19,NA,parks_percent_change_from_baseline,15
NA,NA,NA,2020-03-19,NA,transit_stations_percent_change_from_baseline,-46
NA,NA,NA,2020-03-19,NA,workplaces_percent_change_from_baseline,-33
NA,NA,NA,2020-03-19,NA,residential_percent_change_from_baseline,14
NA,NA,NA,2020-03-20,NA,retail_and_recreation_percent_change_from_baseline,-50
NA,NA,NA,2020-03-20,NA,grocery_and_pharmacy_percent_change_from_baseline,-2
NA,NA,NA,2020-03-20,NA,parks_percent_change_from_baseline,-14
NA,NA,NA,2020-03-20,NA,transit_stations_percent_change_from_baseline,-52
NA,NA,NA,2020-03-20,NA,workplaces_percent_change_from_baseline,-36
NA,NA,NA,2020-03-20,NA,residential_percent_change_from_baseline,16
NA,NA,NA,2020-03-21,NA,retail_and_recreation_percent_change_from_baseline,-69
NA,NA,NA,2020-03-21,NA,grocery_and_pharmacy_percent_change_from_baseline,-24
NA,NA,NA,2020-03-21,NA,parks_percent_change_from_baseline,-31
NA,NA,NA,2020-03-21,NA,transit_stations_percent_change_from_baseline,-59
NA,NA,NA,2020-03-21,NA,workplaces_percent_change_from_baseline,-31
NA,NA,NA,2020-03-21,NA,residential_percent_change_from_baseline,13
NA,NA,NA,2020-03-22,NA,retail_and_recreation_percent_change_from_baseline,-71
NA,NA,NA,2020-03-22,NA,grocery_and_pharmacy_percent_change_from_baseline,-35
NA,NA,NA,2020-03-22,NA,parks_percent_change_from_baseline,1
NA,NA,NA,2020-03-22,NA,transit_stations_percent_change_from_baseline,-58
NA,NA,NA,2020-03-22,NA,workplaces_percent_change_from_baseline,-34
NA,NA,NA,2020-03-22,NA,residential_percent_change_from_baseline,10
NA,NA,NA,2020-03-23,NA,retail_and_recreation_percent_change_from_baseline,-57
NA,NA,NA,2020-03-23,NA,grocery_and_pharmacy_percent_change_from_baseline,-16
NA,NA,NA,2020-03-23,NA,parks_percent_change_from_baseline,-5
NA,NA,NA,2020-03-23,NA,transit_stations_percent_change_from_baseline,-56
NA,NA,NA,2020-03-23,NA,workplaces_percent_change_from_baseline,-41
NA,NA,NA,2020-03-23,NA,residential_percent_change_from_baseline,16
NA,NA,NA,2020-03-24,NA,retail_and_recreation_percent_change_from_baseline,-59
NA,NA,NA,2020-03-24,NA,grocery_and_pharmacy_percent_change_from_baseline,-18
NA,NA,NA,2020-03-24,NA,parks_percent_change_from_baseline,9
NA,NA,NA,2020-03-24,NA,transit_stations_percent_change_from_baseline,-56
NA,NA,NA,2020-03-24,NA,workplaces_percent_change_from_baseline,-43
NA,NA,NA,2020-03-24,NA,residential_percent_change_from_baseline,18
NA,NA,NA,2020-03-25,NA,retail_and_recreation_percent_change_from_baseline,-58
NA,NA,NA,2020-03-25,NA,grocery_and_pharmacy_percent_change_from_baseline,-18
NA,NA,NA,2020-03-25,NA,parks_percent_change_from_baseline,11
NA,NA,NA,2020-03-25,NA,transit_stations_percent_change_from_baseline,-56
NA,NA,NA,2020-03-25,NA,workplaces_percent_change_from_baseline,-43
NA,NA,NA,2020-03-25,NA,residential_percent_change_from_baseline,18
NA,NA,NA,2020-03-26,NA,retail_and_recreation_percent_change_from_baseline,-59
NA,NA,NA,2020-03-26,NA,grocery_and_pharmacy_percent_change_from_baseline,-16
NA,NA,NA,2020-03-26,NA,parks_percent_change_from_baseline,3
NA,NA,NA,2020-03-26,NA,transit_stations_percent_change_from_baseline,-57
NA,NA,NA,2020-03-26,NA,workplaces_percent_change_from_baseline,-44
NA,NA,NA,2020-03-26,NA,residential_percent_change_from_baseline,18
NA,NA,NA,2020-03-27,NA,retail_and_recreation_percent_change_from_baseline,-59
NA,NA,NA,2020-03-27,NA,grocery_and_pharmacy_percent_change_from_baseline,-14
NA,NA,NA,2020-03-27,NA,parks_percent_change_from_baseline,21
NA,NA,NA,2020-03-27,NA,transit_stations_percent_change_from_baseline,-56
NA,NA,NA,2020-03-27,NA,workplaces_percent_change_from_baseline,-44
NA,NA,NA,2020-03-27,NA,residential_percent_change_from_baseline,19
NA,NA,NA,2020-03-28,NA,retail_and_recreation_percent_change_from_baseline,-66
NA,NA,NA,2020-03-28,NA,grocery_and_pharmacy_percent_change_from_baseline,-21
NA,NA,NA,2020-03-28,NA,parks_percent_change_from_baseline,33
NA,NA,NA,2020-03-28,NA,transit_stations_percent_change_from_baseline,-53
NA,NA,NA,2020-03-28,NA,workplaces_percent_change_from_baseline,-33
NA,NA,NA,2020-03-28,NA,residential_percent_change_from_baseline,12
NA,NA,NA,2020-03-29,NA,retail_and_recreation_percent_change_from_baseline,-77
NA,NA,NA,2020-03-29,NA,grocery_and_pharmacy_percent_change_from_baseline,-51
NA,NA,NA,2020-03-29,NA,parks_percent_change_from_baseline,-49
NA,NA,NA,2020-03-29,NA,transit_stations_percent_change_from_baseline,-68
NA,NA,NA,2020-03-29,NA,workplaces_percent_change_from_baseline,-39
NA,NA,NA,2020-03-29,NA,residential_percent_change_from_baseline,11
NA,NA,NA,2020-03-30,NA,retail_and_recreation_percent_change_from_baseline,-54
NA,NA,NA,2020-03-30,NA,grocery_and_pharmacy_percent_change_from_baseline,-16
NA,NA,NA,2020-03-30,NA,parks_percent_change_from_baseline,-13
NA,NA,NA,2020-03-30,NA,transit_stations_percent_change_from_baseline,-56
NA,NA,NA,2020-03-30,NA,workplaces_percent_change_from_baseline,-43
NA,NA,NA,2020-03-30,NA,residential_percent_change_from_baseline,17
NA,NA,NA,2020-03-31,NA,retail_and_recreation_percent_change_from_baseline,-53
NA,NA,NA,2020-03-31,NA,grocery_and_pharmacy_percent_change_from_baseline,-12
NA,NA,NA,2020-03-31,NA,parks_percent_change_from_baseline,7
NA,NA,NA,2020-03-31,NA,transit_stations_percent_change_from_baseline,-53
NA,NA,NA,2020-03-31,NA,workplaces_percent_change_from_baseline,-43
NA,NA,NA,2020-03-31,NA,residential_percent_change_from_baseline,17
NA,NA,NA,2020-04-01,NA,retail_and_recreation_percent_change_from_baseline,-52
NA,NA,NA,2020-04-01,NA,grocery_and_pharmacy_percent_change_from_baseline,-13
NA,NA,NA,2020-04-01,NA,parks_percent_change_from_baseline,20
NA,NA,NA,2020-04-01,NA,transit_stations_percent_change_from_baseline,-53
NA,NA,NA,2020-04-01,NA,workplaces_percent_change_from_baseline,-43
NA,NA,NA,2020-04-01,NA,residential_percent_change_from_baseline,17
NA,NA,NA,2020-04-02,NA,retail_and_recreation_percent_change_from_baseline,-54
NA,NA,NA,2020-04-02,NA,grocery_and_pharmacy_percent_change_from_baseline,-11
NA,NA,NA,2020-04-02,NA,parks_percent_change_from_baseline,6
NA,NA,NA,2020-04-02,NA,transit_stations_percent_change_from_baseline,-54
NA,NA,NA,2020-04-02,NA,workplaces_percent_change_from_baseline,-43
NA,NA,NA,2020-04-02,NA,residential_percent_change_from_baseline,17
NA,NA,NA,2020-04-03,NA,retail_and_recreation_percent_change_from_baseline,-57
NA,NA,NA,2020-04-03,NA,grocery_and_pharmacy_percent_change_from_baseline,-11
NA,NA,NA,2020-04-03,NA,parks_percent_change_from_baseline,-13
NA,NA,NA,2020-04-03,NA,transit_stations_percent_change_from_baseline,-57
NA,NA,NA,2020-04-03,NA,workplaces_percent_change_from_baseline,-44
NA,NA,NA,2020-04-03,NA,residential_percent_change_from_baseline,19
NA,NA,NA,2020-04-04,NA,retail_and_recreation_percent_change_from_baseline,-63
NA,NA,NA,2020-04-04,NA,grocery_and_pharmacy_percent_change_from_baseline,-16
NA,NA,NA,2020-04-04,NA,parks_percent_change_from_baseline,21
NA,NA,NA,2020-04-04,NA,transit_stations_percent_change_from_baseline,-52
NA,NA,NA,2020-04-04,NA,workplaces_percent_change_from_baseline,-31
NA,NA,NA,2020-04-04,NA,residential_percent_change_from_baseline,12
NA,NA,NA,2020-04-05,NA,retail_and_recreation_percent_change_from_baseline,-58
NA,NA,NA,2020-04-05,NA,grocery_and_pharmacy_percent_change_from_baseline,-13
NA,NA,NA,2020-04-05,NA,parks_percent_change_from_baseline,61
NA,NA,NA,2020-04-05,NA,transit_stations_percent_change_from_baseline,-47
NA,NA,NA,2020-04-05,NA,workplaces_percent_change_from_baseline,-30
NA,NA,NA,2020-04-05,NA,residential_percent_change_from_baseline,8
NA,NA,NA,2020-04-06,NA,retail_and_recreation_percent_change_from_baseline,-43
NA,NA,NA,2020-04-06,NA,grocery_and_pharmacy_percent_change_from_baseline,-6
NA,NA,NA,2020-04-06,NA,parks_percent_change_from_baseline,49
NA,NA,NA,2020-04-06,NA,transit_stations_percent_change_from_baseline,-49
NA,NA,NA,2020-04-06,NA,workplaces_percent_change_from_baseline,-44
NA,NA,NA,2020-04-06,NA,residential_percent_change_from_baseline,15
NA,NA,NA,2020-04-07,NA,retail_and_recreation_percent_change_from_baseline,-44
NA,NA,NA,2020-04-07,NA,grocery_and_pharmacy_percent_change_from_baseline,-2
NA,NA,NA,2020-04-07,NA,parks_percent_change_from_baseline,50
NA,NA,NA,2020-04-07,NA,transit_stations_percent_change_from_baseline,-50
NA,NA,NA,2020-04-07,NA,workplaces_percent_change_from_baseline,-45
NA,NA,NA,2020-04-07,NA,residential_percent_change_from_baseline,16
NA,NA,NA,2020-04-08,NA,retail_and_recreation_percent_change_from_baseline,-42
NA,NA,NA,2020-04-08,NA,grocery_and_pharmacy_percent_change_from_baseline,10
NA,NA,NA,2020-04-08,NA,parks_percent_change_from_baseline,57
NA,NA,NA,2020-04-08,NA,transit_stations_percent_change_from_baseline,-49
NA,NA,NA,2020-04-08,NA,workplaces_percent_change_from_baseline,-45
NA,NA,NA,2020-04-08,NA,residential_percent_change_from_baseline,15
NA,NA,NA,2020-04-09,NA,retail_and_recreation_percent_change_from_baseline,-40
NA,NA,NA,2020-04-09,NA,grocery_and_pharmacy_percent_change_from_baseline,14
NA,NA,NA,2020-04-09,NA,parks_percent_change_from_baseline,37
NA,NA,NA,2020-04-09,NA,transit_stations_percent_change_from_baseline,-49
NA,NA,NA,2020-04-09,NA,workplaces_percent_change_from_baseline,-47
NA,NA,NA,2020-04-09,NA,residential_percent_change_from_baseline,15
NA,NA,NA,2020-04-10,NA,retail_and_recreation_percent_change_from_baseline,-80
NA,NA,NA,2020-04-10,NA,grocery_and_pharmacy_percent_change_from_baseline,-92
NA,NA,NA,2020-04-10,NA,parks_percent_change_from_baseline,72
NA,NA,NA,2020-04-10,NA,transit_stations_percent_change_from_baseline,-69
NA,NA,NA,2020-04-10,NA,workplaces_percent_change_from_baseline,-86
NA,NA,NA,2020-04-10,NA,residential_percent_change_from_baseline,29
NA,NA,NA,2020-04-11,NA,retail_and_recreation_percent_change_from_baseline,-56
NA,NA,NA,2020-04-11,NA,grocery_and_pharmacy_percent_change_from_baseline,0
NA,NA,NA,2020-04-11,NA,parks_percent_change_from_baseline,35
NA,NA,NA,2020-04-11,NA,transit_stations_percent_change_from_baseline,-48
NA,NA,NA,2020-04-11,NA,workplaces_percent_change_from_baseline,-29
NA,NA,NA,2020-04-11,NA,residential_percent_change_from_baseline,10
NA,NA,NA,2020-04-12,NA,retail_and_recreation_percent_change_from_baseline,-63
NA,NA,NA,2020-04-12,NA,grocery_and_pharmacy_percent_change_from_baseline,-23
NA,NA,NA,2020-04-12,NA,parks_percent_change_from_baseline,59
NA,NA,NA,2020-04-12,NA,transit_stations_percent_change_from_baseline,-47
NA,NA,NA,2020-04-12,NA,workplaces_percent_change_from_baseline,-26
NA,NA,NA,2020-04-12,NA,residential_percent_change_from_baseline,6
NA,NA,NA,2020-04-13,NA,retail_and_recreation_percent_change_from_baseline,-81
NA,NA,NA,2020-04-13,NA,grocery_and_pharmacy_percent_change_from_baseline,-93
NA,NA,NA,2020-04-13,NA,parks_percent_change_from_baseline,29
NA,NA,NA,2020-04-13,NA,transit_stations_percent_change_from_baseline,-73
NA,NA,NA,2020-04-13,NA,workplaces_percent_change_from_baseline,-88
NA,NA,NA,2020-04-13,NA,residential_percent_change_from_baseline,28
NA,NA,NA,2020-04-14,NA,retail_and_recreation_percent_change_from_baseline,-45
NA,NA,NA,2020-04-14,NA,grocery_and_pharmacy_percent_change_from_baseline,1
NA,NA,NA,2020-04-14,NA,parks_percent_change_from_baseline,8
NA,NA,NA,2020-04-14,NA,transit_stations_percent_change_from_baseline,-52
